Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,School Enrollment In Primary (% net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.26078796,94.90834045,92.60632324,93.26428223,92.08110809,91.47118378,90.62375641,90.79167938,91.59565735,92.90862274,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.13925171,95.51508331,96.50289154,96.87188721,96.2008667,94.75524139,93.38945007,91.82241058,90.31195068,89.44419098,89.13661957,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,48.77513885,,,,,,,,,,,,,,47.71636963,48.07794952,,,,53.57624054,54.71443176,,55.92591858,55.10158157,59.0526619,59.1557312,55.77922821,,,,,,56.08113098,,,,67.98126221,73.44168091,77.70365906,83.88587952,
Cameroon,,,,,,,,,,,,64.48171234,63.41427994,61.65443039,59.53847885,66.16188812,67.69281006,66.40947723,67.76593018,68.71550751,68.95677948,,,,,,,,74.84037781,,73.97164154,72.06874084,,,,,,,,,,,,,,,,,85.15393066,87.73493195,,91.09130096,91.43067169,,91.73317719,,95.27401733,
"Congo, Dem. Rep.",,,,,,,,,,,,69.31825256,67.56458282,,,70.22427368,,,,73.19985962,,,,75.68202972,76.29682922,,,,64.5491333,,,61.42882156,59.73188019,58.6806488,59.8612709,67.83577728,,,,36.81180954,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,82.22534943,,88.53553772,,91.56787872,,95.10714722,95.35368347,87.22598267,86.22138977,86.75990295,87.18044281,88.4095993,,,,,,,,,,,,,,,,,,,,,51.33324814,54.62998962,,,,84.46897888,,85.84185791,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,70.71721649,,69.00231934,67.64785004,65.55861664,66.05493927,65.63757324,65.41490936,,67.92733765,75.54685211,76.41100311,77.52095795,81.03540039,86.2767868,,90.93123627,93.7322998,94.64318848,94.19328308,94.46556091,,95.30818176,94.20818329,92.75489044,91.9642334,92.667099,93.28859711,93.56775665,94.03466034,91.4726181,90.47609711,89.83271027,90.60456848,91.20001221,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,87.33049011,,,83.48227692,75.62851715,,,,,,,69.22219086,,,,,60.79396057,67.49472809,,,,,,,79.1741333,,,,,,84.6255188,80.85214233,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,88.93211365,87.46224213,84.39958191,90.86737823,93.67754364,94.94661713,96.10188293,99.56118774,,99.19792938,,,,99.12538147,,,,99.79686737,,99.09124756,98.34111786,97.39073944,96.71527863,94.66932678,93.82409668,92.92523193,91.31401825,89.55017853,88.23352814,87.24124908,86.32193756,86.95024109,86.64971924,86.88751984,86.90756226,86.16221619,
Costa Rica,,,,,,,,,,,87.66596222,,89.7166214,90.57478333,,90.26998901,91.78967285,,90.26940155,88.97730255,89.21460724,89.92526245,88.34924316,,,86.08490753,87.11356354,87.3423996,,87.72734833,87.73358917,88.28701782,90.34648132,91.13864899,90.73327637,92.44824982,94.9134903,,,,,,,,,,,,,,,98.3995285,98.48628235,97.42027283,96.13213348,96.30940247,96.60977936,
Caribbean small states,,,,,,,,,,,93.67745972,94.06729889,94.50041199,94.5993576,95.25650787,92.9443512,91.53456116,93.44532776,93.38239288,93.32798004,91.89144897,92.64129639,94.00064087,94.39421082,94.07447052,94.0341568,93.83895874,95.42678833,94.91490173,96.29023743,94.51770782,92.71176147,92.43219757,91.77572632,91.97190094,92.23223114,92.318367,92.25985718,92.38523102,92.03588867,91.94625092,91.287323,90.40048981,90.10614014,91.32028198,91.05906677,91.13741302,91.72676086,92.56700897,92.17637634,92.55168915,92.56694794,92.44611359,92.27562714,,,,
Cuba,,,,,,,,,,,,,92.95839691,94.50691986,95.41500092,,,,,98.3480072,97.61106873,95.41705322,94.3432312,94.44789124,92.96853638,91.24102783,91.53833008,93.06735229,92.84499359,92.92427826,92.49028778,92.08705139,94.26909637,95.08570099,97.37866211,97.26618195,99.21637726,98.96481323,96.97328949,97.24835205,96.51560211,95.89347076,95.60349274,93.78768921,94.04264069,93.93241119,94.15196228,96.07491302,96.87713623,99.14624023,99.33480072,99.80296326,99.41680145,99.36351013,96.47688293,95.35910034,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,79.73274994,78.37996674,78.2754364,77.64427948,71.21884918,68.99791718,68.07942963,68.85246277,69.5732193,68.73445129,71.21460724,67.93724823,68.09789276,68.37381744,69.16519165,73.80319214,77.85594177,79.33486176,79.45967102,78.82102966,79.15245056,77.36126709,97.62944794,96.91663361,96.21299744,96.11727905,96.28476715,,95.39910126,95.31861877,94.96984863,95.94278717,96.14328003,96.11749268,99.34590912,99.21867371,99.04305267,98.70243073,98.74388885,98.96981812,98.71900177,97.91239929,97.29695129,96.91133118,97.36852264,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.818573,99.33631897,99.24519348,98.93209076,98.43108368,98.6364212,98.61364746,98.39463806,98.30928802,97.67764282,97.31408691,97.57698822,97.76933289,97.93450928,98.43641663,98.61821747,98.69239044,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,25.13891029,26.71035957,26.89378929,26.77046013,26.73386002,27.19718933,27.26189995,28.46113968,26.21071053,27.08583069,28.14266014,28.11271095,27.03737068,,26.72907066,26.89123917,29.47871017,31.03265953,,34.6940918,36.15024948,39.33961105,41.527771,46.55939865,45.68521881,,53.64886856,,54.13158035,56.30358887,55.59273911,52.42190933,59.06761169
Dominica,,,,,,,,,,,,,,,,98.5134964,92.89112091,92.53478241,,86.82299805,85.95188904,84.34806061,87.6905365,,,,,,,,,,,,,,,,,,94.84796906,94.12612152,98.70661926,93.66735077,92.13334656,90.65065765,88.47678375,89.25153351,89.67436981,92.95075989,,,,,,,95.63787842,
Denmark,,,,,,,,,,,,,,,,,,,,,,95.47402954,96.29634857,98.00093842,98.96527863,98.77725983,98.68261719,98.86003113,98.97547913,97.79876709,97.68508148,98.25418091,97.43151093,96.9600296,98.68842316,98.27815247,98.14875793,,98.70982361,97.9491272,97.44444275,99.82750702,99.85920715,,97.74302673,95.65879822,95.97509766,96.55380249,95.95912933,95.99636078,95.8947525,97.48008728,97.9573822,98.3360672,98.0389328,98.37760162,98.69361115,
