Data Source,World Development Indicators
Indicator,"Primary completion rate female (% of relevant age group)"
Last Updated Date,2020-07-01
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominican Republic,,,,,,,,,,,,36.33988,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.10549,82.91964,,96.39409,,90.93814,,89.36895,95.12451,,93.69296,92.02974,94.05438,94.61764,94.85571,94.73499,97.85758,96.55679,94.35356,92.58232,,
Algeria,,,,,,,,,,,,,29.82791,31.922,33.29665,38.79357,44.38116,47.69562,50.17054,50.88246,51.87957,54.48283,58.21295,60.61132,63.91486,74.78868,62.91274,65.67869,67.05635,70.02317,69.49524,70.52942,73.77663,73.73846,73.65588,76.05147,79.89461,81.61375,,81.49223,79.90703,85.9997,87.86707,89.24715,91.53528,92.72462,82.64968,95.17526,106.98562,92.72837,95.36509,97.3098,101.29782,105.85917,108.90738,105.48757,105.56004,105.7507,105.62508,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.28292,88.95965,87.55342,88.692,89.79387,91.25693,92.84539,92.37983,92.33725,92.23668,92.06519,91.78053,93.23028,96.855,96.64834,95.96934,94.29507,95.42886,95.02825,91.86265,90.33782,93.34467,95.98489,98.00462,,
Early-demographic dividend,,,,,,,,,,,41.23164,41.27825,41.60476,42.40466,42.71306,43.63884,44.61765,45.83509,46.66892,47.62003,49.37697,50.95293,52.80583,54.6646,56.96234,59.2002,60.61581,61.51705,62.74066,63.28676,63.83367,64.49313,65.62596,66.71041,67.73806,68.6812,68.6757,68.59131,69.00389,69.21016,71.0038,72.70063,74.66717,78.42155,80.61873,82.82023,83.77177,85.73497,87.53319,88.90061,89.48248,89.21008,91.96279,93.01537,93.70506,93.79461,93.13207,92.76575,93.28889,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.30062,89.08491,87.67854,88.87037,90.0144,91.42745,92.95955,92.45289,92.55732,92.47472,92.30686,92.09327,93.50743,96.86086,96.69024,96.07521,94.63272,95.87654,95.37431,92.32465,91.00971,93.74659,96.14699,98.0512,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.75246,94.96736,94.81126,93.88528,93.33836,93.45606,93.43765,93.2085,93.09085,95.24557,96.38015,95.30317,96.30844,98.04133,96.25456,94.95044,95.70924,97.04405,97.591,98.87564,97.87766,98.18104,97.84305,98.59613,96.54911,96.61766,97.07086,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8292,96.65843,96.19193,95.36125,95.32585,95.3956,95.46212,95.35893,95.54109,97.24928,97.56931,96.96836,97.26606,97.46569,96.4171,96.26891,96.73527,97.309,97.60127,98.19823,97.58277,97.74122,97.50554,98.33994,97.10794,97.42582,97.68131,,
Ecuador,,,,,,,,,,,,53.59485,53.91391,57.63532,59.76283,63.8272,68.27783,70.2687,69.71043,72.64905,75.6713,,,,,,,91.3753,94.93999,,,,,,95.82068,93.71134,93.12931,96.1542,,97.9752,97.85091,98.70852,97.94595,97.43133,97.01933,101.21966,100.10498,99.97157,,98.11614,104.20502,108.25586,109.24766,109.57426,113.02198,106.9525,103.98883,106.0291,104.92084,,
"Egypt, Arab Rep.",,,,,,,,,,,,41.73461,39.54059,42.22535,44.56649,46.27101,47.57163,47.54169,37.24914,23.8906,36.99266,44.34078,,,,,62.83475,,,,,,,,,,,83.48016,,89.53053,88.18682,86.86697,87.81994,87.01359,88.81866,88.33763,86.10126,89.04963,,92.30376,95.04538,,,100.98303,,,97.67213,97.62611,101.63324,,
Euro area,,,,,,,,,,,95.78863,95.79492,96.00871,96.12723,96.56434,98.22184,97.84771,97.85318,,97.14305,97.50204,97.3195,97.41402,96.97155,97.49865,97.77044,97.84018,96.75244,97.91843,97.78771,98.42453,98.48153,99.03526,99.10898,98.24388,97.14092,97.2069,96.92144,97.2769,97.54091,98.33511,99.39153,98.02882,97.86559,97.2012,95.80693,95.80961,97.44846,97.62983,97.20654,97.08918,96.87614,96.34379,96.11133,96.05116,96.90453,96.0592,96.40473,96.44077,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.30163,27.24312,34.32487,38.11613,,40.08637,43.74544,45.41971,42.17777,46.40356,51.9025,68.50227,68.1363,69.81533,73.21713,80.00194,70.22986,66.82819,59.91452,55.97177,,58.45611,,60.41933,56.1772,,
Spain,,,,,,,,,,,,,,,,,,,,,,100.36607,99.40774,99.65314,102.38657,103.51386,103.5263,102.11885,104.3677,100.14787,99.41647,,,101.06343,101.86041,,,,,,,,,,102.52804,,96.42649,97.15392,97.59377,97.62264,96.08686,96.17086,98.91407,99.43541,100.17382,103.74006,101.70184,101.37004,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.53781,90.86212,,89.67785,94.34052,96.56325,102.73388,104.38818,105.13537,101.8667,101.64236,92.99053,93.87583,95.69651,98.71959,99.24438,101.30246,102.45455,103.61382,99.70685,99.06166,98.19063,97.42516,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,12.02962,,,,,19.20547,18.39068,17.79638,,,,,12.08402,11.30663,11.73732,,,14.06178,15.81701,19.64841,22.49532,25.49868,29.15413,36.09272,41.94139,42.4186,46.07886,50.10384,55.6559,50.28746,50.51939,,53.01526,52.99047,,,,,
European Union,,,,,,,,,,,,95.96028,96.00094,96.10955,,,,,,,97.68949,97.08959,96.92551,96.69843,97.35449,98.19276,97.85571,97.18659,97.84243,97.54692,97.54819,97.09867,97.56198,97.92716,97.43781,96.90976,97.45925,97.70967,97.72699,97.6599,98.1684,99.19744,98.30459,98.41984,98.23231,97.10401,96.74711,97.60902,97.50655,97.4426,97.72191,97.75525,97.24174,97.21294,97.09559,97.93033,97.33994,97.89438,97.94888,,
Fragile and conflict affected situations,,,,,,,,,,,28.64697,28.57106,29.00649,30.70087,31.31065,32.84456,33.95467,35.79571,37.2256,38.18187,39.22421,40.58484,41.43341,42.05094,43.61138,43.82051,44.43245,43.49103,43.47491,43.62361,44.13415,44.79846,44.80976,45.87919,45.05863,45.26384,45.62574,45.54661,45.87407,46.17477,47.57968,49.13437,49.98344,52.37923,54.0172,55.61652,56.64818,57.71946,59.44618,60.0266,61.49103,62.20787,63.38404,62.35526,63.12644,64.06674,64.69354,65.83476,65.91185,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.51206,105.39645,105.38981,101.76368,96.82171,97.21461,96.21518,96.99781,99.96005,102.31235,,98.29495,95.62393,96.41261,102.49077,100.79427,101.64981,100.43527,99.51762,96.7492,98.3278,98.01123,97.56839,99.13519,98.16594,100.27122,98.62531,98.87331,98.71068,101.10573,101.12367,,,
Fiji,,,,,,,,,,,,,,,,,,,,,97.88119,98.70644,,96.16943,92.66821,94.54727,95.41938,,,,,,105.98543,,103.48824,104.57212,103.1229,102.62058,106.02423,99.90766,93.91744,98.94652,104.47744,,109.93066,,111.63121,,105.77124,105.31299,,104.19552,106.80236,106.20113,,110.75297,106.3197,,,,
France,,,,,,,,,,,,95.32172,94.77932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
